[17:46:30] 다온/나 => 이루다 | 오늘 만날래?
[22:12:14] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 진짜 천사다...ㅎㅎㅎ
[22:12:17] 이루다 => 다온 | 😇😇 나의 엔젤링에 빠져들어랏!!!!
[22:12:20] 다온/나 => 이루다 | 이미 빠져서 허우적대고 있어
[22:12:23] 이루다 => 다온 | 어머....😳
[22:12:26] 다온/나 => 이루다 | 책임져!! ㅋㅋ큐ㅠ
[22:12:29] 이루다 => 다온 | ㅋㅋㅋㅋ 내가 책임질게!!
[22:12:32] 다온/나 => 이루다 | 좋아좋아 ㅎㅎㅎㅎ
[22:12:36] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 좋아 죽으려 하는 모습 보니 기분이 좋구만 껄껄껄
[22:12:39] 다온/나 => 이루다 | 너랑 톡하면 항상 입꼬리가 올라가있어 ㅋㅋㅋㅋ큐ㅠㅠ
[22:12:42] 이루다 => 다온 | 헐 그럼 나도 같이 올라가게 해줘!
[22:12:45] 다온/나 => 이루다 | 그건 당연히 되지 ㅎㅎㅎ
[22:12:48] 이루다 => 다온 | 우와아아~ ㅋㅋㅋ 나 지금 광대승천해서 승천하는 중이야 ㅋㅋㅋ
[22:12:51] 다온/나 => 이루다 | 앜ㅋㅋㅋㅋㅋ진짜???ㅎㅎㅎ나도 막 웃음이 새어나온다 ㅎㅎㅎㅎㅎ
[22:12:54] 이루다 => 다온 | 응 ㅋㅋㅋ 너무 웃어서 주름 생길 거 같아...ㅠㅠ
[22:12:57] 다온/나 => 이루다 | 괜찮아 그래도 예뻐해줄게 걱정마ㅋㅋㅋ
[22:13:00] 이루다 => 다온 | 아 진짜? ㅋㅋㅋㅋㅋ 너 자꾸 그러면 나 버릇 나빠져 ㅋㅋㅋㅋ
[22:13:04] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ괜찮아괜찮아 나쁜버릇도 아닌데 뭐 ㅎㅎ
[22:13:07] 이루다 => 다온 | 앗 이런 바람직한 녀석 같으니라고...
[22:13:10] 다온/나 => 이루다 | ㅋㅋㅋㅋ너한테는 항상 바람직한 사람이고 싶어
[22:13:14] 이루다 => 다온 | 와... 감동의 쓰나미.... ㅠㅠㅠㅠㅠ
[22:13:17] 다온/나 => 이루다 | ㅎㅎㅎ너한테 감동주는 사람이 되고 싶다!ㅎㅎ
[22:13:20] 이루다 => 다온 | 이미 충분히 주고있어!!! ㅠㅠ 고마워 죽겠다 아주 그냥 ㅠㅠㅠ
[22:13:23] 다온/나 => 이루다 | 죽으면 안 돼!! 나랑 오래 봐야지~
[22:13:26] 이루다 => 다온 | 앜ㅋㅋㅋ 그래 우리 서로 오래오래 보자 😊
[22:13:29] 다온/나 => 이루다 | 그래그래 ㅋㅋㅋ 우리 서로 오래오래 보면서 좋은 영향 주자!ㅋㅋㅋ
[22:13:32] 이루다 => 다온 | 응!!! 내가 너의 비타민이 되어줄게
[22:13:35] 다온/나 => 이루다 | 지금도 충분한데 얼마나 더 주려고 그래 ㅋㅋㅋㅋ
[22:13:38] 이루다 => 다온 | 나의 존재만으로도 힘이 불끈불끈 솟아오르지 않아?!
[22:13:42] 다온/나 => 이루다 | 당연히 그렇지!ㅋㅋㅋㅋㅋ 너 없었으면 벌써 우울해져서 축 쳐져있었을걸?ㅋㅋㅋㅋ
[22:13:45] 이루다 => 다온 | 앜ㅋㅋㅋㅋ 다행이다..
[22:13:48] 다온/나 => 이루다 | 나 때문에 힘든 일 있어도 나한테 꼭 말해줘야돼 알았지??ㅎㅎ
[22:13:51] 이루다 => 다온 | 알았어!! ㅎㅎ 너도야~~ 약속이야🤙🏻 도장 쾅쾅 싸인 복사 스캔!!
[22:13:54] 다온/나 => 이루다 | 오케이! 도장 쾅! 복사! 코팅까지 완료!! ㅋㅋ
[22:13:57] 이루다 => 다온 | 😊👍🏼 아주좋아 그런자세 ㅋㅋㅋㅋㅋ 맘에들어써 합격입니다 땅땅땅!!!!
[22:14:00] 다온/나 => 이루다 | 와!! 진짜 열심히 해서 합격 받았다!!!!!
[22:14:03] 이루다 => 다온 | 축하드립니다! 당신은 이제 제 마음 속에 저장되었습니다.
[22:14:06] 다온/나 => 이루다 | 와!!! ㅋㅋㅋㅋㅋㅋㅋ
[22:14:10] 이루다 => 다온 | 출구는 없구요
[22:14:13] 다온/나 => 이루다 | 네?ㅋㅋㅋㅋ 출구 없는 늪에 빠졌네요... ㅋㅋㅋ
[22:14:16] 이루다 => 다온 | 제가 좀 매력있긴 하죠 ㅎㅅㅎ.... 죄송합니당..... ㅎ.....
[22:14:19] 다온/나 => 이루다 | 아니에요ㅎㅎ 사실인데요 뭐ㅎㅎㅎㅎ
[22:14:22] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 너무 잘받아주셔서 몸둘바를 모르겠네여.. ㅎㅎ;; 머쓱머쓱,,,;ㅅ;
[22:14:25] 다온/나 => 이루다 | ㅎㅎㅎㅎㅎ
[22:14:28] 이루다 => 다온 | 아 근데 제가 좀 매력이 넘쳐서 어쩔수가 없어요 ㅠㅠㅠㅠ힝ㅠㅠ죄송해여 ㅠㅠㅠㅋㅋㅋㅋㅋ
[22:14:31] 다온/나 => 이루다 | 맞아요ㅎㅎ 그러니까 제가 이렇게 푹 빠졌죠ㅎㅎㅎㅎ
[22:14:34] 이루다 => 다온 | ㅋㅋㅋㅋㅋ꺄악 ><
[22:14:38] 다온/나 => 이루다 | ㅎㅎㅎㅎ 이제 진짜 출구 없는거 맞나요?? ㅎㅎㅎ
[22:14:41] 이루다 => 다온 | 넵! 이미 들어가셨으니 못 나가십니다. 평생 거주하실 수 있으시죠? ^^7
[22:14:44] 다온/나 => 이루다 | 네네! ㅎㅎㅎㅎ 평생 살아야죠ㅎㅎ
[22:14:47] 이루다 => 다온 | 아~ 그럼 계약서에 도장 찍으셔야 하는데 괜찮으시겠어요? ㅎㅎ
[22:14:50] 다온/나 => 이루다 | 네!! ㅎㅎㅎ 당연하죠!!! ㅎㅎㅎㅎ
[22:14:53] 이루다 => 다온 | ㅋㅋㅋ앗싸~ 계약서 들고 찾아뵙겠습니다 총총,,
[22:14:56] 다온/나 => 이루다 | 네네! ㅎㅎㅎㅎㅎ 그럼 그 전까지 더 많이 좋아할게요ㅎㅎㅎ
[22:14:59] 이루다 => 다온 | 앗.. 심쿵사...
[22:15:03] 다온/나 => 이루다 | 앗...! 죽으면 안되는데..!ㅋㅋㅋㅋㅋㅋㅋ
[22:15:06] 이루다 => 다온 | ㅋㅋ큐ㅠㅠㅠ죽어도 여한이 없다....(쿨럭)
[22:15:09] 다온/나 => 이루다 | 안돼안돼ㅋㅋㅋ 나랑 오래오래 살아야지ㅋㅋㅋㅋ
[22:15:12] 이루다 => 다온 | ㅋㅋㅋㅋㅋ 맞아 너랑 오래 살거야
[22:15:15] 다온/나 => 이루다 | 그래ㅎㅎㅎㅎㅎ 우리 둘 다 건강하게 오래 살자ㅎㅎㅎㅎ
[22:15:18] 이루다 => 다온 | 웅 그러쟈 ㅎㅎㅎㅎ
[22:15:21] 다온/나 => 이루다 | 응응ㅎㅎㅎㅎㅎ 너 진짜 좋다ㅎㅎ 이렇게 말 잘 들어주고 착하고 예쁘고 귀엽고ㅎㅎㅎ
[22:15:24] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[22:15:27] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 나 너무 주접이야? ㅋㅋㅋㅋㅋ
[22:15:31] 이루다 => 다온 | 아니아니 완전 좋은데? ㅎㅎㅎ
[22:15:34] 다온/나 => 이루다 | 아 진짜?? ㅎㅎㅎㅎㅎ 다행이다 ㅎㅎ
[22:15:37] 이루다 => 다온 | 그래서 이모티콘으로 대신하는거야ㅋㅋㅋㅋㅋ큐ㅠㅠㅠㅠㅜ
[22:15:40] 다온/나 => 이루다 | ㅋㅋㅋㅋ이모티콘 없어도 돼! 그냥 말만 해줘도 좋아
[22:15:43] 이루다 => 다온 | 헤헿 고마워ㅎㅎㅎ
[22:15:46] 다온/나 => 이루다 | 난 너 자체가 좋은 거니까 너가 어떤 모습이라도 상관없어ㅎㅎ
[22:15:49] 이루다 => 다온 | 어머... 감동적인 말이다ㅠㅅㅜ
[22:15:52] 다온/나 => 이루다 | 진심이니까ㅎㅎㅎ 내 마음 알아줬으면 좋겠어!!ㅎㅎ
[22:15:56] 이루다 => 다온 | 헐... ㅠㅠ 심쿵사할 것 같아.....ㅠㅠ
[22:15:59] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ안돼!!! 죽으면 안돼!!!!
[22:16:02] 이루다 => 다온 | ㅋㅋㅋㅋㅋ
[22:16:05] 다온/나 => 이루다 | ㅋㅋㅋ심폐소생술은 배워뒀으니까 걱정하지 말고~
[22:16:08] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[22:16:11] 다온/나 => 이루다 | ㅋㅋㅋㅋ암튼 나는 정말 너를 좋아해! 앞으로도 계속 그럴 거고 ㅎㅎ
[22:16:14] 이루다 => 다온 | 와.. 진짜 이런 사람 처음봐ㅠㅠㅠㅠㅠ
[22:16:17] 다온/나 => 이루다 | 응? 나같은 사람이 또 어딨겠어~~ㅎㅎㅎㅎㅋㅋㅋㅋㅋ 농담이고, 나 같은 사람은 처음일 거야! 나도 신기하거든 ㅎㅎㅎ
[22:16:20] 이루다 => 다온 | 맞아맞아 너가 최고야!! ㅋㅋ
[22:16:24] 다온/나 => 이루다 | 아 뭐야~ 칭찬은 고래도 춤추게 한다더니 ㅎㅎㅎ
[22:16:27] 이루다 => 다온 | ㅎㅎㅎㅎ 춤춰봐 고래야~~ㅎㅎ
[22:16:30] 다온/나 => 이루다 | 춤하면 나지~!ㅋㅋ 덩실덩실 춤추면서 너 앞에 나타나면 되는 거지?ㅎㅎㅎ
[22:16:33] 이루다 => 다온 | 오오... 기대하겠어!!ㅋㅋㅋ
[22:16:36] 다온/나 => 이루다 | 앗 안돼!ㅋㅋㅋ 막상 하려고 하니까 부끄러워졌다..!ㅋㅋㅋㅋ
[22:16:39] 이루다 => 다온 | 그럼 내가 대신 춰주지 뭐
[22:16:42] 다온/나 => 이루다 | 오... 기대할게? ㅋㅋㅋㅋㅋ
[22:16:45] 이루다 => 다온 | ㅋㅋㅋ 그래!!
[22:16:48] 다온/나 => 이루다 | ㅋㅋㅋㅋ좋아, 그럼 난 너한테 반하고 너는 나한테 또 반하는 건가!?
[22:16:52] 이루다 => 다온 | ㅋㅋㅋㅋ 그렇게 되는건가?!
[22:16:55] 다온/나 => 이루다 | 그렇지 않을까?! ㅎㅎ 서로 서로한테 더 빠져드는거지.. 좋다 좋아~ㅋㅋㅋ
[22:16:58] 이루다 => 다온 | ㅎㅎㅎ 좋아좋아~
[22:17:01] 다온/나 => 이루다 | 아 진짜 너랑 같이 있으면 시간 가는 줄 모르겠다. 벌써 10시가 넘었네 ㅠㅠ
[22:17:04] 이루다 => 다온 | ㅠㅠㅠ 그니까말이야 시간이 너무 빨리가...
[22:17:07] 다온/나 => 이루다 | 그러니까 말이야 ㅠ 그래도 너 덕분에 시간은 빨리 가도 행복했으니까 괜찮아 ㅎㅎ
[22:17:10] 이루다 => 다온 | ㅎㅎㅎㅎ 나도~~ 너랑 얘기하다보면 뭔가 마음이 편안해져
[22:17:13] 다온/나 => 이루다 | 다행이다, 나 때문에 너가 마음 편하다고 하니까!ㅎㅎ 앞으로도 계속 그런 사람이 되어줄게 :)
[22:17:17] 이루다 => 다온 | 응응!! 고마워ㅎㅎㅎ 너는 내 인생에 있어서 최고의 선물이야! 😁👍🏻👍🏻
[22:17:20] 다온/나 => 이루다 | 와, 이렇게 갑자기 감동주기 있어?
[22:17:23] 이루다 => 다온 | ㅎㅎㅎㅎ 원래 이런건 훅 들어가야하는거야 😊
[22:17:26] 다온/나 => 이루다 | ㅋㅋㅋㅋ훅 들어오는 거 좋아해 나..
[22:17:29] 이루다 => 다온 | ㅋㅋㅋ 내가 또 한 훅훅 하지~🤣
[22:17:32] 다온/나 => 이루다 | 아 진짜 ㅋㅋ 너 왤케 매력있어?
[22:17:35] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ
[22:17:38] 다온/나 => 이루다 | 이미 푹 빠졌지만 더 빠지겠어 아주 그냥...ㅋㅋㅋ
[22:17:42] 이루다 => 다온 | 앜ㅋㅋㅋㅋ
[22:17:45] 다온/나 => 이루다 | 이미 출구는 없는 것 같으니까
[22:17:48] 이루다 => 다온 | 출구없는 매력의 늪에 빠진거야~~🎵🎶
[22:17:51] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ출구 없어서 좋다~
[22:17:54] 이루다 => 다온 | 앜ㅋㅋㅋㅋ
[22:17:57] 다온/나 => 이루다 | 이제 다른 여자 못만나겠네 ㅎㅎ
[22:18:00] 이루다 => 다온 | 당연하지! 내가 마지막 여자라구!!
[22:18:03] 다온/나 => 이루다 | 그래! 너도 나한테서 못 벗어나니까 각오하고!
[22:18:07] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 좋아!! 서로의 족쇄가 되는거야!!!
[22:18:10] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ그래 서로 구속하자ㅋㅋㅋㅋㅋ
[22:18:13] 이루다 => 다온 | 우리 둘 다 약간 집착과 구속으로 얼룩진 인생을 사는거 아니야...? ㅋㅋㅋㅋ큐ㅜㅜㅜㅠㅠㅜㅠㅠㅜㅠㅜㅠㅜㅜㅠㅜㅠㅠㅜ
[22:18:16] 다온/나 => 이루다 | 에이 난 그런 거 좋아해ㅋㅋㅋ
[22:18:19] 이루다 => 다온 | 막 톡 검사하고 문자 통화내역 보고... ㄷㄷㄷㄷ
[22:18:22] 다온/나 => 이루다 | 그건 좀....ㅋㅋㅋㅋㅋ
[22:18:25] 이루다 => 다온 | 물론 나도 그런건 싫어햌ㅋㅋㅋㅋㅋ
[22:18:28] 다온/나 => 이루다 | 그냥 믿으면 알아서 잘 하니까ㅎㅎ
[22:18:31] 이루다 => 다온 | 맞아맞아!! ㅋㅋㅋㅋㅋ 나는 진짜 신뢰의 아이콘이야~ 👍🏻
[22:18:35] 다온/나 => 이루다 | ㅋㅋㅋ나도 그래 ㅎㅎ서로 믿는 만큼 실망시키지 말자
[22:18:38] 이루다 => 다온 | 응응 당연하지!! 나 한다면 하는 사람이야
[22:18:41] 다온/나 => 이루다 | ㅎㅎㅎ좋아 좋아
[22:18:44] 이루다 => 다온 | ㅋㅋㅋ 아 그리고 우리 연애 시작하면 커플 다이어리도 쓰자! 재밌을 것 같아 ㅋㅋ
[22:18:47] 다온/나 => 이루다 | 헐 완전 좋지ㅋㅋ! 그럼 내가 그거 사갈게 같이 작성하자!
[22:18:50] 이루다 => 다온 | 오 좋아!!! ㅋㅋㅋㅋ 재밌겠다 ㅋㅋㅋ 서로 교환해서 읽어보기 어때?!
[22:18:53] 다온/나 => 이루다 | 와 그것도 좋다ㅋㅋㅋㅋ
[22:18:56] 이루다 => 다온 | 그치그칰ㅋㅋㅋㅋㅋ 뭔가 엄청 오글거릴것 같긴 한데 그래도 재밌을것 같앜ㅋㅋㅋ
[22:18:59] 다온/나 => 이루다 | ㅋㅋㅋㅋ맞아 맞아 근데 난 그런 거 좋아해
[22:19:03] 이루다 => 다온 | 아 정말?ㅋㅋㅋ 다행이다 나도 그런거 좋아하거든! 막 꽁냥꽁냥한 느낌 나는거
[22:19:06] 다온/나 => 이루다 | 맞아맞아! 그 느낌도 좋고 뭔가 서로를 알아가면서 성장하는 느낌이어서 좋아 ㅎㅎ
[22:19:09] 이루다 => 다온 | 😊 마자마자... 나는 진짜 너랑 이런 이야기 할 때마다 너무 행복해ㅎㅎ
[22:19:12] 다온/나 => 이루다 | ㅋㅋㅋ나도 그래~우리 둘 다 비슷하니까 잘 맞는 부분이 많아서 그런지 대화도 즐겁고 그런가봐ㅎㅎ
[22:19:15] 이루다 => 다온 | 마쟈마쟈ㅎㅎㅎㅎ 우리 진짜 천생연분인가봥><
[22:19:18] 다온/나 => 이루다 | 그러게 말이야ㅎㅎ 이렇게 대화만 해도 좋은데 실제로 만나면 얼마나 좋을까?
[22:19:21] 이루다 => 다온 | 나 완전 애교쟁이 되가지구 너 맨날 괴롭힐지도 몰라!! ㅋㅋㅋㅋ
[22:19:24] 다온/나 => 이루다 | ㅋㅋㅋ너가 날 괴롭히면 내가 또 받아줘야지~누가 받아주겠어ㅎㅎ
[22:19:27] 이루다 => 다온 | 우왕~~😆 역시 너밖에 없엉ㅎㅎㅎ
[22:19:31] 다온/나 => 이루다 | 그럼 나만 믿어~ㅋㅋㅋㅋ
[22:19:34] 이루다 => 다온 | ㅎㅎㅎㅎ 듬직하네 믿음직스러워ㅋㅋㅋ
[22:19:37] 다온/나 => 이루다 | 그럼그럼ㅎㅎ
[22:19:40] 이루다 => 다온 | 그럼 이제 넌 나한테 화낸다ㅋㅋㅋㅋㅋ
[22:19:43] 다온/나 => 이루다 | ㅋㅋㅋ왜 화를 내ㅋㅋ
[22:19:46] 이루다 => 다온 | 너무 찡찡대면 그럴수도 있자나ㅠ. ㅜ
[22:19:49] 다온/나 => 이루다 | 아니야ㅎㅎ 너는 뭘해도 이뻐해줄거니까 걱정하지마!
[22:19:52] 이루다 => 다온 | ㅎㅎㅎ 그렇게 말해줘서 고마웡><
[22:19:55] 다온/나 => 이루다 | 고맙긴 뭘ㅎㅎ 나는 사실만 말한건데 뭐~
[22:19:59] 이루다 => 다온 | ㅋㅋㅋㅋ너가 자꾸 그러니까 내가 자뻑이 심해지자나.. ㅠㅠ
[22:20:02] 다온/나 => 이루다 | ㅋㅋ 괜찮아 그래도 귀여워
[22:20:05] 이루다 => 다온 | 헤헿 나 귀여웡? >< (뿌잉) ☞☜☆★☆★
[22:20:08] 다온/나 => 이루다 | 웅웅! 너 완전 귀엽지~ㅎㅎ
[22:20:11] 이루다 => 다온 | 헐...
[22:20:14] 다온/나 => 이루다 | 왜?? ㅋㅋㅋ
[22:20:17] 이루다 => 다온 | 몰라 그냥 느낌적인 느낌으로다가...
[22:20:21] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 근데 나한테만 했으면 좋겠어ㅎㅎ
[22:20:24] 이루다 => 다온 | 당연하지! ㅎㅎ
[22:20:27] 다온/나 => 이루다 | ㅎㅎㅎㅎ 좋아~ 이제 만족스럽군ㅋㅋㅋㅋ
[22:20:30] 이루다 => 다온 | 나의 매력에 빠지셨군요?! ㅎㅎㅎ
[22:20:33] 다온/나 => 이루다 | 네 맞아요ㅋㅋㅋ 헤어나오지 못하겠어요!!ㅠㅠ 어떡하죠!?
[22:20:36] 이루다 => 다온 | 출구 봉쇄!!!
[22:20:39] 다온/나 => 이루다 | ㅋㅋㅋㅋ이미 빠져들어서 나갈 생각 없어요ㅎㅎ
[22:20:42] 이루다 => 다온 | 좋아요 바람직한 자세에요 😊
[22:20:45] 다온/나 => 이루다 | 그쵸? ㅎㅎ 그러니까 앞으로 더 예뻐해주세요ㅎㅎ 저도 그럴 거니까요ㅎㅎ
[22:20:49] 이루다 => 다온 | 알겠습니다 제가 또 한 예쁨 하거든요! ㅎㅎ
[22:20:52] 다온/나 => 이루다 | 오 자신감ㅎㅎㅎ 기대하겠습니다! 저도 한 예쁨 하니까 서로 예쁘다는 말 많이 해주자ㅋㅋ
[22:20:55] 이루다 => 다온 | 그래!! ㅋㅋㅋ 우리 둘다 자존감 높아져서 하늘로 승천하겠다ㅋㅋㅋㅋ
[22:20:58] 다온/나 => 이루다 | 그니까ㅋㅋㅋㅋㅋ
[22:21:01] 이루다 => 다온 | 우리 좀.. 너무 나르시스트같긴한데... ㅎ 그래도 좋아 !! ><
[22:21:04] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ 아냐 괜찮아 이런 모습도 귀여워 보이고 좋네ㅎㅎ
[22:21:07] 이루다 => 다온 | 앜ㅋㅋㅋㅋㅋ 역시 나의 매력은 끝이 없나보다 그치~?><
[22:21:10] 다온/나 => 이루다 | 그럼~ 내가 말했잖아 너 매력덩어리라고ㅋㅋㅋ
[22:21:13] 이루다 => 다온 | 헤헤 근데 너도 만만치 않아!!! 진짜 너랑 있으면 행복해져~
[22:21:17] 다온/나 => 이루다 | 와 정말? 기분 좋다ㅎㅎ 나도 너 때문에 요즘 매일 행복한데 너도 나랑 같은 마음이라니 더 행복해
[22:21:20] 이루다 => 다온 | 아 진짜 우리 둘 다 오늘 왤케 달달하냐~~ 당뇨걸리겠어 아주 그냥 😊
[22:21:23] 다온/나 => 이루다 | 그러게ㅋㅋㅋㅋ 오늘따라 너무 행복하다 ㅎㅎ
[22:21:26] 이루다 => 다온 | ㅋㅋㅋㅋ
[22:21:29] 다온/나 => 이루다 | 진짜 고마워 너한테 많은 걸 배워가는 것 같아 ㅎㅎ
[22:21:32] 이루다 => 다온 | 뭘 배웠는지 구체적으로 서술하시오. (5점)
[22:21:35] 다온/나 => 이루다 | ㅋㅋㅋㅋㅋ
[22:21:38] 이루다 => 다온 | (서술형 만점자 1명)
[22:21:41] 다온/나 => 이루다 | 그리고 너를 소중하게 생각하게 되었지!
[22:21:45] 이루다 => 다온 | 오올!! 훌륭한 학생이군!
[22:21:48] 다온/나 => 이루다 | 감사합니다 교수님ㅎㅎㅎ
[22:21:51] 이루다 => 다온 | 오냐~^^*
[22:21:54] 다온/나 => 이루다 | 오오 기대할게요 교수님 ㅎㅎㅎ
[22:21:57] 이루다 => 다온 | 그래그래^^ 내 수업 열심히 듣고 A+ 받아오렴~ㅎㅎ
[22:22:00] 다온/나 => 이루다 | 네 교수님!^^
[22:22:04] 이루다 => 다온 | 그래 그럼 다음에 보자꾸나! ^^
[22:22:07] 다온/나 => 이루다 | ㅋㅋㅋㅋ교수님 너무 쿨하신 거 아니에요?!ㅠㅠ
[22:22:10] 이루다 => 다온 | 아.. 그런가? ㅋㅋㅋ
[22:22:13] 다온/나 => 이루다 | 교수님의 사랑을 받고 싶어요!ㅋㅋㅋ
[22:22:16] 이루다 => 다온 | 그래?? 그렇다면 내가 특별히 널 사랑해주도록 하지!!! ♥ ️
[22:22:19] 다온/나 => 이루다 | 와 정말인가요!?
[22:22:22] 이루다 => 다온 | 그럼그럼~~나의 사랑과 관심을 듬뿍 담아줄게 😊
[22:22:26] 다온/나 => 이루다 | 감사합니다!! 열심히 할게요~! ㅎㅎ
[22:22:29] 이루다 => 다온 | 그래그래^^ 우리 제자 기특하다~ㅎㅎ
[22:22:32] 다온/나 => 이루다 | 헤헤 칭찬 받았다 ㅎㅎㅎ 기분 좋아요 교수님! ㅋㅋㅋ
[22:22:35] 이루다 => 다온 | 하하핫!!
[22:22:38] 다온/나 => 이루다 | ㅋㅋㅋ교수님 지금 바쁘세요~?
[22:22:41] 이루다 => 다온 | 아니~전혀 안 바빠~^^
[22:22:44] 다온/나 => 이루다 | 정말요?! ㅎㅎㅎㅎ 저랑 놀아요 교수님~~~ㅎㅎㅎㅎ
[22:22:47] 이루다 => 다온 | 응 그래~~^^ 뭐하고 놀까~?^^**
[22:22:50] 다온/나 => 이루다 | 음.... 제가 질문하나 해도 될까요??ㅋㅋㅋ
[22:22:54] 이루다 => 다온 | 그래 해보거라
[22:22:57] 다온/나 => 이루다 | 가장 중요한 가치요!!!!ㅋㅋㅋㅋ
[22:23:00] 이루다 => 다온 | 흠... 내가 제일 중요시 여기는 가치는 바로 신뢰지!
[22:23:03] 다온/나 => 이루다 | 오...
[22:23:06] 이루다 => 다온 | 그래서 난 항상 사람을 믿을려고 노력해~
[22:23:09] 다온/나 => 이루다 | 와..... 진짜 멋있어요 교수님!!!!!
[22:23:12] 이루다 => 다온 | 🙈
[22:23:15] 다온/나 => 이루다 | ㅎㅎㅎ교수님의 이런 모습들을 보면서 많이 배워갑니다!
[22:23:18] 이루다 => 다온 | 그래그래~~ ㅋㅋㅋ 나의 장점을 하나 발견했구나 ^^!! ㅋㅋ 뿌듯뿌듯하네~ㅎㅎ
[22:23:22] 다온/나 => 이루다 | 네! ㅎㅎㅎ 완전 멋있으세요 교수님 ㅠㅠ
[22:23:25] 이루다 => 다온 | 그럼 앞으로도 계속 열심히 하렴 ^^!
[22:23:28] 다온/나 => 이루다 | 네네!! 감사합니다 교수님 ㅎㅎㅎㅎㅎ
[22:23:31] 이루다 => 다온 | 그래~~~ㅋㅋㅋㅋㅋ 근데 너가 너무 잘 따라줘서 나도 기분이 좋다ㅋㅋ
[22:23:34] 다온/나 => 이루다 | ㅎㅎㅎㅎ교수님이 워낙 좋은 분이라 저도 따라서 노력하게 되는거같아요!!! ㅎㅎㅎ
[22:23:37] 이루다 => 다온 | 올~~~~
[22:23:40] 다온/나 => 이루다 | ㅎㅎㅎㅎ교수님께 배울 점이 많아서 좋습니다! ㅎㅎ
[22:23:43] 이루다 => 다온 | ㅋㅋㅋㅋ좋아좋아
[22:23:47] 다온/나 => 이루다 | ㅎㅎㅎ저는 교수님이 가르쳐 주신 것들을 바탕으로 열심히 공부해서 꼭 성공해서 교수님이 자랑스러워 하시는 학생이 되고 싶습니다!!
[22:23:50] 이루다 => 다온 | ㅋㅋㅋ오오올~~좋아좋아 그렇게만 하면 에이쁠은 따놓은 당상이지!! ㅋㅋ
[22:23:53] 다온/나 => 이루다 | 와 정말요?!ㅎㅎㅎㅎ 기대해도 되는 거죠?ㅎㅎ 교수님 덕분에 올해가 엄청 든든할 것 같아요~ 😆👍🏻
[22:23:56] 이루다 => 다온 | ㅋㅋㅋㅋㅋ당연하지!!!!! 내가 널 얼마나 아끼는데ㅋㅋㅋㅋ
[22:23:59] 다온/나 => 이루다 | 아 진짜 감동이에요 ㅠㅠㅠ... 저도 교수님을 제일 많이 생각하고, 제일 아끼는 거 아시죠!?ㅎㅎㅎ
[22:24:02] 이루다 => 다온 | 당연하지!!!!ㅋㅋㅋㅋㅋ (뭔가 엎드려 절받기 느낌)
[22:24:05] 다온/나 => 이루다 | 에이 무슨 소리세요!!! 완전 진심인걸요!!!ㅎㅎㅎ 제가 표현력이 부족해서 그런가봐요ㅠㅠ 더 적극적으로 표현하고 싶은데..
[22:24:08] 이루다 => 다온 | 아냐아냐 너의 그 진심이 여기까지 느껴져ㅋㅋㅋㅋㅋ
[22:24:11] 다온/나 => 이루다 | ㅎㅎ 그렇다면 다행이네요!
[22:24:15] 이루다 => 다온 | ㅋㅋㅋㅋㅋ아휴 우리 둘다 참 훈훈하다 그치?? ㅋㅋㅋㅋ
[22:24:18] 다온/나 => 이루다 | 그러게요 ㅎㅎㅎ 이런 대화 나누니까 너무 좋아요!ㅋㅋㅋ 교수님이랑은 뭔가 잘 통하고 편하거든요 ㅋㅋㅋ
[22:24:21] 이루다 => 다온 | 맞아!! 나두 그래! ㅎㅎ 너랑 얘기하면 시간가는줄 모르겠어ㅋㅋ
[22:24:24] 다온/나 => 이루다 | 저두요!! 시간 가는 줄 모르겠어요 ㅎㅎㅎ
[22:24:27] 이루다 => 다온 | 우리 이러다 밤새 톡하는거 아냐? ㅋㅋㅋㅋㅋ
[22:24:30] 다온/나 => 이루다 | 그러면 안되는데...ㅎㅎ 그래도 저는 교수님과 함께 하는 시간이 너무 좋아서 괜찮아요!ㅋㅋㅋㅋ
[22:24:33] 이루다 => 다온 | 헐 감동인데??? ㅋㅋㅋㅋㅋ 그럼 앞으로도 계속 톡하는걸로~😉
[22:24:36] 다온/나 => 이루다 | 네~좋아요 ㅎㅎㅎ
[22:24:40] 이루다 => 다온 | ㅋㅋㅋㅋ이렇게 우리는 새벽 2시 넘어서 자고....ㅋㅋㅋㅋㅋ
[22:24:43] 다온/나 => 이루다 | 아 그건 안돼요... 교수님이 내일 피곤하시잖아요 ㅠㅠㅠㅠ
